Price,Close,High,Low,Open,Volume,Log_Returns,Normalized_Log_Returns
Ticker,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,,
Datetime,8874.5302734375,^FTSE,^FTSE,^FTSE,^FTSE,0.0,
2025-06-16 07:00:00+00:00,8874.5302734375,8874.9296875,8850.6298828125,8850.6298828125,0,0.0,
2025-06-16 08:00:00+00:00,8884.1298828125,8884.580078125,8871.1103515625,8874.2001953125,0,0.0010811187584595981,
2025-06-16 09:00:00+00:00,8882.5400390625,8887.169921875,8878.25,8883.8896484375,0,-0.0001789692453604825,
2025-06-16 10:00:00+00:00,8902.2001953125,8902.2001953125,8882.16015625,8882.509765625,0,0.002210902605187874,
2025-06-16 11:00:00+00:00,8889.740234375,8902.3798828125,8887.6298828125,8902.26953125,0,-0.0014006300238807855,
2025-06-16 12:00:00+00:00,8885.8095703125,8894.509765625,8882.33984375,8889.8603515625,0,-0.00044225513919462025,
2025-06-16 13:00:00+00:00,8882.1796875,8887.0703125,8867.3095703125,8885.9599609375,0,-0.00040858679171054874,
2025-06-16 14:00:00+00:00,8889.6396484375,8890.849609375,8876.990234375,8882.1796875,0,0.0008395270326168709,
2025-06-16 15:00:00+00:00,8879.73046875,8891.58984375,8874.9296875,8889.51953125,0,-0.0011153102951126138,
2025-06-17 07:00:00+00:00,8830.349609375,8875.2197265625,8810.009765625,8875.2197265625,0,-0.005576596732411043,
2025-06-17 08:00:00+00:00,8842.259765625,8849.2001953125,8829.0595703125,8830.2001953125,0,0.0013478663846878593,
2025-06-17 09:00:00+00:00,8832.9599609375,8845.349609375,8827.5498046875,8842.2900390625,0,-0.0010522987198499914,
2025-06-17 10:00:00+00:00,8838.599609375,8840.73046875,8831.5703125,8832.8798828125,0,0.0006382740138496925,
2025-06-17 11:00:00+00:00,8850.73046875,8851.150390625,8832.8701171875,8838.4404296875,0,0.0013715455840414292,
2025-06-17 12:00:00+00:00,8843.3798828125,8856.2802734375,8840.7099609375,8850.83984375,0,-0.0008308511944712253,
2025-06-17 13:00:00+00:00,8833.5302734375,8848.3896484375,8822.0703125,8843.1396484375,0,-0.0011144040793652865,
2025-06-17 14:00:00+00:00,8838.4599609375,8841.9404296875,8822.76953125,8833.4404296875,0,0.0005579097274828426,
2025-06-17 15:00:00+00:00,8834.1298828125,8840.66015625,8833.7197265625,8838.3896484375,0,-0.0004900332379049689,
2025-06-18 07:00:00+00:00,8850.169921875,8856.5595703125,8828.48046875,8834.0302734375,0,0.0018140433761362693,1.1788242483358402
2025-06-18 08:00:00+00:00,8848.9296875,8853.0302734375,8837.6201171875,8850.080078125,0,-0.0001401466068221283,0.0025968472972204403
2025-06-18 09:00:00+00:00,8852.490234375,8854.98046875,8847.669921875,8848.7900390625,0,0.000402289413926575,0.3173520927599636
2025-06-18 10:00:00+00:00,8827.3701171875,8853.0703125,8825.91015625,8852.3095703125,0,-0.002841666573363799,-1.4495098351204379
2025-06-18 11:00:00+00:00,8840.7001953125,8841.6103515625,8820.419921875,8827.419921875,0,0.001508945846209413,0.9765775556782994
2025-06-18 12:00:00+00:00,8845.1796875,8848.75,8840.599609375,8840.650390625,0,0.0005065614278699765,0.4862024872740326
2025-06-18 13:00:00+00:00,8842.3603515625,8851.4599609375,8834.849609375,8845.4296875,0,-0.0003187934506607921,-0.030643955112792276
2025-06-18 14:00:00+00:00,8849.66015625,8858.5595703125,8839.599609375,8842.169921875,0,0.0008252087542541647,0.6051335617559699
2025-06-18 15:00:00+00:00,8845.759765625,8847.5,8839.73046875,8847.5,0,-0.0004408361830785569,-0.13841010024785846
2025-06-19 07:00:00+00:00,8797.16015625,8843.7900390625,8794.66015625,8843.4697265625,0,-0.005509261790521726,-2.4303628330431897
2025-06-19 08:00:00+00:00,8810.4697265625,8817.9697265625,8793.1396484375,8797.08984375,0,0.0015117960720471843,0.908327577905811
2025-06-19 09:00:00+00:00,8824.7802734375,8826.419921875,8806.650390625,8810.3896484375,0,0.0016229483581030619,0.9469067060614156
2025-06-19 10:00:00+00:00,8828.2998046875,8828.66015625,8817.919921875,8824.9599609375,0,0.0003987441603456713,0.27767683626566264
2025-06-19 11:00:00+00:00,8812.740234375,8829.01953125,8809.419921875,8828.330078125,0,-0.0017640200705694045,-0.9431653052973649
2025-06-19 12:00:00+00:00,8816.9599609375,8818.23046875,8808.7998046875,8812.3896484375,0,0.0004787065686125749,0.344455659091697
2025-06-19 13:00:00+00:00,8817.0595703125,8835.3896484375,8816.240234375,8816.9404296875,0,1.1297410079966135e-05,0.11802551457024406
2025-06-19 14:00:00+00:00,8811.9296875,8825.4697265625,8809.4697265625,8817.0703125,0,-0.0005819826516734444,-0.23666151550989453
2025-06-19 15:00:00+00:00,8789.16015625,8815.2197265625,8788.76953125,8812.01953125,0,-0.0025872879638529434,-1.3126729674629631
2025-06-20 07:00:00+00:00,8832.9404296875,8832.98046875,8791.7998046875,8791.7998046875,0,0.004968801908512175,2.3533043166023973
2025-06-20 08:00:00+00:00,8823.83984375,8841.01953125,8820.23046875,8832.8603515625,0,-0.001030831963974574,-0.45568991918703033
2025-06-20 09:00:00+00:00,8844.08984375,8847.2802734375,8814.2197265625,8823.830078125,0,0.002292289954204624,1.0777163080392311
2025-06-20 10:00:00+00:00,8836.990234375,8843.9501953125,8828.23046875,8843.6103515625,0,-0.0008030742155107671,-0.3396497317714461
2025-06-20 11:00:00+00:00,8828.7001953125,8837.669921875,8823.849609375,8835.01953125,0,-0.0009385469199783448,-0.37031797153630164
2025-06-20 12:00:00+00:00,8824.6298828125,8840.099609375,8824.0400390625,8828.6201171875,0,-0.00046113821631560116,-0.2144296508272752
2025-06-20 13:00:00+00:00,8800.0400390625,8826.9501953125,8795.6298828125,8824.900390625,0,-0.002790390947947911,-1.199709815662981
2025-06-20 14:00:00+00:00,8784.6396484375,8806.8798828125,8779.0302734375,8800.3095703125,0,-0.0017515695293907558,-0.6542410448010816
2025-06-20 15:00:00+00:00,8775.8896484375,8787.9697265625,8775.240234375,8784.0400390625,0,-0.0009965531876884306,-0.2870573461698658
2025-06-23 07:00:00+00:00,8773.76953125,8774.650390625,8741.48046875,8774.650390625,0,-0.00024161348959613155,0.0883603087523887
2025-06-23 08:00:00+00:00,8779.25,8784.419921875,8773.76953125,8773.9501953125,0,0.0006244474255073327,0.46550997602216215
2025-06-23 09:00:00+00:00,8772.91015625,8782.1396484375,8771.650390625,8779.1904296875,0,-0.000722400430405487,-0.3271273425863454
2025-06-23 10:00:00+00:00,8768.2001953125,8787.0595703125,8768.1201171875,8772.9501953125,0,-0.0005370197161176908,-0.16994038364520803
2025-06-23 11:00:00+00:00,8752.8798828125,8769.6904296875,8742.3203125,8768.2197265625,0,-0.0017487867569967424,-0.7797119770044056
2025-06-23 12:00:00+00:00,8765.7900390625,8768.490234375,8752.91015625,8752.91015625,0,0.0014738742889316466,1.0386277613605743
2025-06-23 13:00:00+00:00,8767.1796875,8769.1201171875,8749.3896484375,8765.990234375,0,0.00015851831858287714,0.24109548112648604
2025-06-23 14:00:00+00:00,8751.6103515625,8769.8701171875,8748.259765625,8767.2001953125,0,-0.0017774446753243962,-0.8007662057616532
2025-06-23 15:00:00+00:00,8762.7197265625,8763.4697265625,8752.9599609375,8752.9599609375,0,0.0012686042161313342,0.8805424260259598
2025-06-24 07:00:00+00:00,8797.51953125,8831.8701171875,8758.0400390625,8758.0400390625,0,0.003963482471164002,1.9947132620988308
2025-06-24 08:00:00+00:00,8790.099609375,8800.91015625,8782.5595703125,8797.48046875,0,-0.0008437665446227291,-0.4352966997897815
2025-06-24 09:00:00+00:00,8789.7001953125,8797.2197265625,8784.7802734375,8790.08984375,0,-4.5440115019048104e-05,0.12792855794416674
2025-06-24 10:00:00+00:00,8790.509765625,8794.740234375,8778.08984375,8789.8701171875,0,9.210018707078507e-05,0.18111839208058594
2025-06-24 11:00:00+00:00,8792.5595703125,8793.080078125,8780.48046875,8790.330078125,0,0.0002331566414966721,0.3636681624465405
2025-06-24 12:00:00+00:00,8789.0400390625,8799.4599609375,8785.4296875,8792.419921875,0,-0.0004003653109170343,-0.08912245452383286
2025-06-24 13:00:00+00:00,8760.51953125,8790.8896484375,8759.3203125,8789.0595703125,0,-0.0032502847500662756,-1.8095781929099224
