Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
datetime,,,,,
2024-06-27 01:30:00+00:00,17698.029296875,17961.919921875,17677.330078125,17946.0,0
2024-06-27 05:30:00+00:00,17716.470703125,17754.810546875,17681.19921875,17687.380859375,0
2024-06-28 01:30:00+00:00,17806.80078125,17865.470703125,17583.189453125,17583.189453125,0
2024-06-28 05:30:00+00:00,17718.609375,17835.740234375,17718.609375,17803.94921875,0
2024-07-02 01:30:00+00:00,17789.41015625,17986.140625,17669.419921875,17669.419921875,0
2024-07-02 05:30:00+00:00,17769.140625,17832.830078125,17719.060546875,17787.1796875,0
2024-07-03 01:30:00+00:00,17922.359375,18017.759765625,17808.26953125,17841.76953125,0
2024-07-03 05:30:00+00:00,17978.5703125,18009.359375,17916.330078125,17923.560546875,0
2024-07-04 01:30:00+00:00,17956.140625,18133.30078125,17942.080078125,18079.720703125,0
2024-07-04 05:30:00+00:00,18028.279296875,18038.41015625,17950.060546875,17955.970703125,0
2024-07-05 01:30:00+00:00,17841.810546875,18105.009765625,17804.4296875,18035.76953125,0
2024-07-05 05:30:00+00:00,17799.609375,17900.490234375,17799.609375,17842.130859375,0
2024-07-08 01:30:00+00:00,17536.880859375,17735.580078125,17509.490234375,17667.970703125,0
2024-07-08 05:30:00+00:00,17524.060546875,17545.439453125,17453.560546875,17535.830078125,0
2024-07-09 01:30:00+00:00,17511.150390625,17531.599609375,17376.48046875,17481.0,0
2024-07-09 05:30:00+00:00,17523.23046875,17617.640625,17498.119140625,17512.859375,0
2024-07-10 01:30:00+00:00,17516.94921875,17765.880859375,17513.220703125,17613.5,0
2024-07-10 05:30:00+00:00,17471.669921875,17522.9609375,17455.080078125,17512.310546875,0
2024-07-11 01:30:00+00:00,17746.580078125,17796.1796875,17621.05078125,17629.130859375,0
2024-07-11 05:30:00+00:00,17832.330078125,17864.08984375,17742.5,17745.4296875,0
2024-07-12 01:30:00+00:00,18245.91015625,18253.859375,18020.169921875,18020.169921875,0
2024-07-12 05:30:00+00:00,18293.380859375,18317.310546875,18215.490234375,18246.16015625,0
2024-07-15 01:30:00+00:00,18075.5703125,18243.390625,18014.650390625,18201.48046875,0
2024-07-15 05:30:00+00:00,18015.939453125,18081.080078125,17946.490234375,18077.080078125,0
2024-07-16 01:30:00+00:00,17756.689453125,17899.55078125,17730.08984375,17845.060546875,0
2024-07-16 05:30:00+00:00,17727.98046875,17805.599609375,17727.98046875,17756.0390625,0
2024-07-17 01:30:00+00:00,17706.6796875,17807.6796875,17658.6796875,17741.76953125,0
2024-07-17 05:30:00+00:00,17739.41015625,17806.76953125,17699.609375,17705.119140625,0
2024-07-18 01:30:00+00:00,17810.720703125,17845.419921875,17623.740234375,17653.23046875,0
2024-07-18 05:30:00+00:00,17778.41015625,17864.119140625,17778.41015625,17809.099609375,0
2024-07-19 01:30:00+00:00,17407.330078125,17629.970703125,17377.060546875,17603.80078125,0
2024-07-19 05:30:00+00:00,17417.6796875,17463.259765625,17386.939453125,17407.2109375,0
2024-07-22 01:30:00+00:00,17530.23046875,17599.349609375,17313.880859375,17465.130859375,0
2024-07-22 05:30:00+00:00,17635.880859375,17693.349609375,17520.2109375,17527.44921875,0
2024-07-23 01:30:00+00:00,17583.4296875,17707.6796875,17548.83984375,17679.55078125,0
2024-07-23 05:30:00+00:00,17469.359375,17583.5390625,17451.859375,17581.779296875,0
2024-07-24 01:30:00+00:00,17374.6796875,17516.94921875,17322.4296875,17454.4296875,0
2024-07-24 05:30:00+00:00,17311.05078125,17385.8203125,17251.259765625,17374.359375,0
2024-07-25 01:30:00+00:00,17019.2109375,17288.4609375,17009.189453125,17260.830078125,0
2024-07-25 05:30:00+00:00,17004.970703125,17037.640625,16964.51953125,17018.48046875,0
2024-07-26 01:30:00+00:00,17049.919921875,17229.189453125,16924.580078125,17079.669921875,0
2024-07-26 05:30:00+00:00,17021.310546875,17070.869140625,17003.470703125,17039.310546875,0
2024-07-29 01:30:00+00:00,17333.490234375,17358.5,17154.119140625,17196.44921875,0
2024-07-29 05:30:00+00:00,17238.33984375,17358.66015625,17238.33984375,17333.630859375,0
2024-07-30 01:30:00+00:00,17014.869140625,17194.369140625,16985.220703125,17194.369140625,0
2024-07-30 05:30:00+00:00,17002.91015625,17043.23046875,16971.599609375,17024.900390625,0
2024-07-31 01:30:00+00:00,17367.880859375,17375.5,17015.830078125,17070.859375,0
2024-07-31 05:30:00+00:00,17344.599609375,17400.240234375,17313.109375,17367.830078125,0
2024-08-01 01:30:00+00:00,17349.2109375,17408.7890625,17248.119140625,17327.849609375,0
2024-08-01 05:30:00+00:00,17304.9609375,17408.94921875,17300.720703125,17350.7109375,0
2024-08-02 01:30:00+00:00,16897.23046875,17075.51953125,16892.560546875,17025.259765625,0
2024-08-02 05:30:00+00:00,16945.509765625,16960.130859375,16865.9296875,16895.900390625,0
2024-08-05 01:30:00+00:00,16682.599609375,16944.58984375,16614.44921875,16676.8203125,0
2024-08-05 05:30:00+00:00,16698.359375,16698.359375,16441.439453125,16682.990234375,0
2024-08-06 01:30:00+00:00,16649.099609375,16908.970703125,16640.94921875,16861.30078125,0
2024-08-06 05:30:00+00:00,16647.33984375,16714.2890625,16611.140625,16648.23046875,0
